.;;;;;;
ARANCELES SUGERIDOS PARA LAS PRESTACIONES DE ENFERMERIA. 2022;;;;;;
Baño total en Cama;30';10;$ 633,63;$ 915,25;$ 915,25;$ 1.091,25
Cambio de decúbito;45';15;$ 950,44;$ 1.372,88;$ 1.372,88;$ 1.636,88
Cambio de frasco;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Cambio de pañal;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Cambio de traqueflex;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Cambios de posición;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Colocación  de gotas oftálmicas;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Colocación de bolsa de colostomía;12';4;$ 253,45;$ 366,10;$ 366,10;$ 436,50
Colocación de bolsa de ileostomía;12';4;$ 253,45;$ 366,10;$ 366,10;$ 436,50
Colocación de bolsa recolectora de orina;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Colocación de chata;18';6;$ 380,18;$ 549,15;$ 549,15;$ 654,75
Colocación de elementos de confort;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Colocación de gotas óticas;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Colocación de orinal;18';6;$ 380,18;$ 549,15;$ 549,15;$ 654,75
Colocación de parches ;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Colocación de sonda nasogástrica;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Colocación de sonda nasoyeyunal *;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Colocación de sonda orofaríngea-;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Colocación de sonda vesical;27';9;$ 570,26;$ 823,73;$ 823,73;$ 982,13
Colocación de urodrop;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Colocación de venoclisis;30';10;$ 633,63;$ 915,25;$ 915,25;$ 1.091,25
Confección de registros;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Consejería en lactancia materna;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Control de Glucotest;3';1;$ 63,36;$ 91,53;$ 91,53;$ 109,13
Control de débito de fistulas;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Control de Goteo;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Control de modalidad de ventiladores ;45';15;$ 950,44;$ 1.372,88;$ 1.372,88;$ 1.636,88
Control de peso;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Control de Presión Venosa Central;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Control de talla;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Cuidado de colostomía;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Cuidado de nefrectomía;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Cuidado de pie diabético;45';15;$ 950,44;$ 1.372,88;$ 1.372,88;$ 1.636,88
Cuidado del paciente con EPOC;30';10;$ 633,63;$ 915,25;$ 915,25;$ 1.091,25
Cuidado paciente traqueostomizado;24';8;$ 506,90;$ 732,20;$ 732,20;$ 873,00
Cuidado posmorten en domicilio;45';15;$ 950,44;$ 1.372,88;$ 1.372,88;$ 1.636,88
Cuidados al paciente en AMR;45';15;$ 950,44;$ 1.372,88;$ 1.372,88;$ 1.636,88
Cuidados al pte. pos-quimio;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Cuidados de los avenamientos pleurales;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Cuidados de los drenajes abdominales;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Curación compleja;30';10;$ 633,63;$ 915,25;$ 915,25;$ 1.091,25
Curación de absesos;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Curación de escaras por dec. Compleja;30';10;$ 633,63;$ 915,25;$ 915,25;$ 1.091,25
Curación de escaras por decúbito;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Curación de forúnculo;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Curación de port;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Curación de vía central ;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Curación simple;18';6;$ 380,18;$ 549,15;$ 549,15;$ 654,75
Diálisis Peritoneal;90';30;$ 1.900,88;$ 2.745,76;$ 2.745,76;$ 3.273,76
Drenaje Postural;9';3;$ 190,09;$ 274,58;$ 274,58;$ 327,38
Educación al paciente y familiar;45';15;$ 950,44;$ 1.372,88;$ 1.372,88;$ 1.636,88
Ejercicio activos y pasos de rehabilitación            ;45';15;$ 950,44;$ 1.372,88;$ 1.372,88;$ 1.636,88
Ejercicios Respiratorios;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Enema de Murphy;30';10;$ 633,63;$ 915,25;$ 915,25;$ 1.091,25
Enema evacuante;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Entrevista al paciente;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Extracción de puntos de sutura;12';4;$ 253,45;$ 366,10;$ 366,10;$ 436,50
Extracción de sangre *;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Faja de cuerpo;12';4;$ 253,45;$ 366,10;$ 366,10;$ 436,50
Lavado de boca ;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Lavado de cabello;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Lavado de oído;9';3;$ 190,09;$ 274,58;$ 274,58;$ 327,38
Lavado de sonda vesical;30';10;$ 633,63;$ 915,25;$ 915,25;$ 1.091,25
Lavajes vaginales con medicamentos;45';15;$ 950,44;$ 1.372,88;$ 1.372,88;$ 1.636,88
Medicación intravenosa por goteo;45';15;$ 950,44;$ 1.372,88;$ 1.372,88;$ 1.636,88
Medicación por Tubuladura y/o colateral;9';3;$ 190,09;$ 274,58;$ 274,58;$ 327,38
Medicación Vía Cutánea;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Medicación Vía Intradérmica;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Medicación Vía Intramuscular;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Medicación Vía Intravenosa;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Medicación Vía Nasal;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Medicación Vía Oral;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Medicación Vía Rectal;9';3;$ 190,09;$ 274,58;$ 274,58;$ 327,38
Medicación Vía Subcutánea;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Medicación Vía Sublingual;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Medicación Vía Vaginal;9';3;$ 190,09;$ 274,58;$ 274,58;$ 327,38
Medición de micción horaria;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Nebulizaciones;12';4;$ 253,45;$ 366,10;$ 366,10;$ 436,50
Oxígeno por bigotera;12';4;$ 253,45;$ 366,10;$ 366,10;$ 436,50
Oxígeno por máscara;12';4;$ 253,45;$ 366,10;$ 366,10;$ 436,50
Oxígeno por traqueóstomía;12';4;$ 253,45;$ 366,10;$ 366,10;$ 436,50
Pesaje de pañales en lactantes;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Rasurado Higiénico;9';3;$ 190,09;$ 274,58;$ 274,58;$ 327,38
Saturometría;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Sujeción de paciente;12';4;$ 253,45;$ 366,10;$ 366,10;$ 436,50
Traslado de cama a camilla;12';4;$ 253,45;$ 366,10;$ 366,10;$ 436,50
Tratamiento de Escabiosis;30';10;$ 633,63;$ 915,25;$ 915,25;$ 1.091,25
Tratamiento de Impétigo;30';10;$ 633,63;$ 915,25;$ 915,25;$ 1.091,25
Tratamiento de Pediculosis;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Valoración de  la Diuresis;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Valoración de la función respiratoria adul;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Valoración de la función respiratoria ped.;12';4;$ 253,45;$ 366,10;$ 366,10;$ 436,50
Valoración de las  deposiciones;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Valoración de permeabilidad de catéter;9';3;$ 190,09;$ 274,58;$ 274,58;$ 327,38
Valoración de Signos Vitales;18';6;$ 380,18;$ 549,15;$ 549,15;$ 654,75
Valoración de temperatura;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Valoración de Tensión Arterial;9';3;$ 190,09;$ 274,58;$ 274,58;$ 327,38
Valoración del dolor;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Valoración del estado de conciencia;12';4;$ 253,45;$ 366,10;$ 366,10;$ 436,50
Valoración del signo de Godet;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Vendaje elástico/elástico;9';3;$ 190,09;$ 274,58;$ 274,58;$ 327,38
Visita Domiciliaria;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Auditoria del Cuidado de pacientes de baja complejdad;;;;;;$ 1.249,54
;;;;;;
Auditoria del Cuidado de pacientes de mediana complejidad;;;;;;$ 1.706,22
;;;;;;
Auditoria del Cuidado de pacientes de alta complejidad;;;;;; $ 	2.040,80 
;;;;;;
;;;;;;
* NO INCLUYE INSUMOS;;;;;;
