.;;;;;;
ARANCELES SUGERIDOS PARA LAS PRESTACIONES DE ENFERMERIA. 2022;;;;;;
;;;VALOR UPE;;;
;UPE;;C.D.;C.N.;D.D.;D.N.
Actividad;Tiempo;Cant.;$ 63,36;$ 91,53;$ 91,53;$ 109,13
Acompañante del paciente;60';20;$ 1.267,25;$ 1.830,51;$ 1.830,51;$ 2.182,51
Administración  de citostático;60';20;$ 1.267,25;$ 1.830,51;$ 1.830,51;$ 2.182,51
Administracion  de nutrición parenteral;45';15;$ 950,44;$ 1.372,88;$ 1.372,88;$ 1.636,88
Administración de nutrición enteral;45';15;$ 950,44;$ 1.372,88;$ 1.372,88;$ 1.636,88
Administración de vacunas;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Alimentación por biberón;9';3;$ 190,09;$ 274,58;$ 274,58;$ 327,38
Alimentación por gastrostomía ;45';15;$ 950,44;$ 1.372,88;$ 1.372,88;$ 1.636,88
Alimentación por sonda nasogástrica;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Aplicación de calor;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Aplicación de frío;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Asistencia en exámen clínico ;15';5;$ 316,81;$ 457,63;$ 457,63;$ 545,63
Aspiración de secreciones bucales;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Aspiración de secreciones nasales;6';2;$ 126,73;$ 183,05;$ 183,05;$ 218,25
Aspiración secreciones traqueostomía;9';3;$ 190,09;$ 274,58;$ 274,58;$ 327,38
Aspiración secreciones tubo endotraq.;9';3;$ 190,09;$ 274,58;$ 274,58;$ 327,38
Ayuda en alimentación oral;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Ayuda en higiene parcial;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Ayuda en la marcha;12';4;$ 253,45;$ 366,10;$ 366,10;$ 436,50
Baño de ducha o bañera;21;7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
Baño Parcial en cama;21';7;$ 443,54;$ 640,68;$ 640,68;$ 763,88
