.;;;;;;
;;;;;;
;;;;;;
;;;;;;
ARANCELES SUGERIDOS PARA LAS PRESTACIONES DE ENFERMERIA 2024;;;;;;
;;;VALOR UPE;;;
;UPE;;C.D.;C.N.;D.D.;D.N.
Cuidado del paciente con EPOC;30';10;$ 2.812,90;$ 4.062,80;$ 4.062,80;$ 4.844,60
Cuidado paciente traqueostomizado;24';8;$ 2.250,32;$ 3.250,24;$ 3.250,24;$ 3.875,68
Cuidado posmorten en domicilio;45';15;$ 4.219,35;$ 6.094,20;$ 6.094,20;$ 7.266,90
Cuidados al paciente en AMR;45';15;$ 4.219,35;$ 6.094,20;$ 6.094,20;$ 7.266,90
Cuidados al pte. pos-quimio;15';5;$ 1.406,45;$ 2.031,40;$ 2.031,40;$ 2.422,30
Cuidados de los avenamientos pleurales;15';5;$ 1.406,45;$ 2.031,40;$ 2.031,40;$ 2.422,30
Cuidados de los drenajes abdominales;15';5;$ 1.406,45;$ 2.031,40;$ 2.031,40;$ 2.422,30
Curación compleja;30';10;$ 2.812,90;$ 4.062,80;$ 4.062,80;$ 4.844,60
Curación de absesos;21';7;$ 1.969,03;$ 2.843,96;$ 2.843,96;$ 3.391,22
Curación de escaras por dec. Compleja;30';10;$ 2.812,90;$ 4.062,80;$ 4.062,80;$ 4.844,60
Curación de escaras por decúbito;21';7;$ 1.969,03;$ 2.843,96;$ 2.843,96;$ 3.391,22
Curación de forúnculo;21';7;$ 1.969,03;$ 2.843,96;$ 2.843,96;$ 3.391,22
Curación de port;15';5;$ 1.406,45;$ 2.031,40;$ 2.031,40;$ 2.422,30
Curación de vía central ;15';5;$ 1.406,45;$ 2.031,40;$ 2.031,40;$ 2.422,30
Curación simple;18';6;$ 1.687,74;$ 2.437,68;$ 2.437,68;$ 2.906,76
Diálisis Peritoneal;90';30;$ 8.438,70;$ 12.188,40;$ 12.188,40;$ 14.533,80
Drenaje Postural;9';3;$ 843,87;$ 1.218,84;$ 1.218,84;$ 1.453,38
Educación al paciente y familiar;45';15;$ 4.219,35;$ 6.094,20;$ 6.094,20;$ 7.266,90
Ejercicio activos y pasos de rehabilitación            ;45';15;$ 4.219,35;$ 6.094,20;$ 6.094,20;$ 7.266,90
Ejercicios Respiratorios;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Enema de Murphy;30';10;$ 2.812,90;$ 4.062,80;$ 4.062,80;$ 4.844,60
Enema evacuante;21';7;$ 1.969,03;$ 2.843,96;$ 2.843,96;$ 3.391,22
Entrevista al paciente;15';5;$ 1.406,45;$ 2.031,40;$ 2.031,40;$ 2.422,30
Extracción de puntos de sutura;12';4;$ 1.125,16;$ 1.625,12;$ 1.625,12;$ 1.937,84
Extracción de sangre *;15';5;$ 1.406,45;$ 2.031,40;$ 2.031,40;$ 2.422,30
Faja de cuerpo;12';4;$ 1.125,16;$ 1.625,12;$ 1.625,12;$ 1.937,84
Lavado de boca ;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Lavado de cabello;21';7;$ 1.969,03;$ 2.843,96;$ 2.843,96;$ 3.391,22
Lavado de oído;9';3;$ 843,87;$ 1.218,84;$ 1.218,84;$ 1.453,38
Lavado de sonda vesical;30';10;$ 2.812,90;$ 4.062,80;$ 4.062,80;$ 4.844,60
Lavajes vaginales con medicamentos;45';15;$ 4.219,35;$ 6.094,20;$ 6.094,20;$ 7.266,90
Medicación intravenosa por goteo;45';15;$ 4.219,35;$ 6.094,20;$ 6.094,20;$ 7.266,90
Medicación por Tubuladura y/o colateral;9';3;$ 843,87;$ 1.218,84;$ 1.218,84;$ 1.453,38
Medicación Vía Cutánea;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Medicación Vía Intradérmica;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Medicación Vía Intramuscular;15';5;$ 1.406,45;$ 2.031,40;$ 2.031,40;$ 2.422,30
Medicación Vía Intravenosa;15';5;$ 1.406,45;$ 2.031,40;$ 2.031,40;$ 2.422,30
Medicación Vía Nasal;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Medicación Vía Oral;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Medicación Vía Rectal;9';3;$ 843,87;$ 1.218,84;$ 1.218,84;$ 1.453,38
Medicación Vía Subcutánea;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Medicación Vía Sublingual;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Medicación Vía Vaginal;9';3;$ 843,87;$ 1.218,84;$ 1.218,84;$ 1.453,38
Medición de micción horaria;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Nebulizaciones;12';4;$ 1.125,16;$ 1.625,12;$ 1.625,12;$ 1.937,84
Oxígeno por bigotera;12';4;$ 1.125,16;$ 1.625,12;$ 1.625,12;$ 1.937,84
Oxígeno por máscara;12';4;$ 1.125,16;$ 1.625,12;$ 1.625,12;$ 1.937,84
Oxígeno por traqueóstomía;12';4;$ 1.125,16;$ 1.625,12;$ 1.625,12;$ 1.937,84
Pesaje de pañales en lactantes;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Rasurado Higiénico;9';3;$ 843,87;$ 1.218,84;$ 1.218,84;$ 1.453,38
Saturometría;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Sujeción de paciente;12';4;$ 1.125,16;$ 1.625,12;$ 1.625,12;$ 1.937,84
Traslado de cama a camilla;12';4;$ 1.125,16;$ 1.625,12;$ 1.625,12;$ 1.937,84
Tratamiento de Escabiosis;30';10;$ 2.812,90;$ 4.062,80;$ 4.062,80;$ 4.844,60
Tratamiento de Impétigo;30';10;$ 2.812,90;$ 4.062,80;$ 4.062,80;$ 4.844,60
Tratamiento de Pediculosis;21';7;$ 1.969,03;$ 2.843,96;$ 2.843,96;$ 3.391,22
Valoración de  la Diuresis;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Valoración de la función respiratoria adul;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Valoración de la función respiratoria ped.;12';4;$ 1.125,16;$ 1.625,12;$ 1.625,12;$ 1.937,84
Valoración de las  deposiciones;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Valoración de permeabilidad de catéter;9';3;$ 843,87;$ 1.218,84;$ 1.218,84;$ 1.453,38
Valoración de Signos Vitales;18';6;$ 1.687,74;$ 2.437,68;$ 2.437,68;$ 2.906,76
Valoración de temperatura;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Valoración de Tensión Arterial;9';3;$ 843,87;$ 1.218,84;$ 1.218,84;$ 1.453,38
Valoración del dolor;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Valoración del estado de conciencia;12';4;$ 1.125,16;$ 1.625,12;$ 1.625,12;$ 1.937,84
Valoración del signo de Godet;6';2;$ 562,58;$ 812,56;$ 812,56;$ 968,92
Vendaje elástico/elástico;9';3;$ 843,87;$ 1.218,84;$ 1.218,84;$ 1.453,38
Visita Domiciliaria;21';7;$ 1.969,03;$ 2.843,96;$ 2.843,96;$ 3.391,22
Auditoria del Cuidado de pacientes de baja complejdad;;;;;;$ 5.547,18
;;;;;;
Auditoria del Cuidado de pacientes de mediana complejidad;;;;;;$ 7.574,58
;;;;;;
Auditoria del Cuidado de pacientes de alta complejidad;;;;;; $ 	9.059,93 
;;;;;;
;;;;;;
 NO INCLUYE INSUMOS;;;;;;
* ESTAS PRACTICAS NO SE REALIZAN NI SE RECONOCEN EN LA JURISDICCION DEL COLEGIO DE PROFESIONALES EN ENFERMERIA DE SANTA FE POR NO CONSIDERARSE INCUMBENCIAS PROFESIONALES DE LA ENFERMERIA.;;;;;;
;;;;;;
CD: CONSULTORIO DIURNO;;;;;;
CD: CONSULTORIO DIURNO;;;;;;
CD: CONSULTORIO DIURNO;;;;;;
CD: CONSULTORIO DIURNO;;;;;;
