.;;;;;;
ARANCELES SUGERIDOS PARA LAS PRESTACIONES DE ENFERMERIA. 2022;;;;;;
;;;VALOR UPE;;;
;UPE;;C.D.;C.N.;D.D.;D.N.
Cuidados de los avenamientos pleurales;15';5;$ 241,75;$ 349,20;$ 349,20;$ 416,35
Cuidados de los drenajes abdominales;15';5;$ 241,75;$ 349,20;$ 349,20;$ 416,35
Curación compleja;30';10;$ 483,50;$ 698,40;$ 698,40;$ 832,70
Curación de absesos;21';7;$ 338,45;$ 488,88;$ 488,88;$ 582,89
Curación de escaras por dec. Compleja;30';10;$ 483,50;$ 698,40;$ 698,40;$ 832,70
Curación de escaras por decúbito;21';7;$ 338,45;$ 488,88;$ 488,88;$ 582,89
Curación de forúnculo;21';7;$ 338,45;$ 488,88;$ 488,88;$ 582,89
Curación de port;15';5;$ 241,75;$ 349,20;$ 349,20;$ 416,35
Curación de vía central ;15';5;$ 241,75;$ 349,20;$ 349,20;$ 416,35
Curación simple;18';6;$ 290,10;$ 419,04;$ 419,04;$ 499,62
Diálisis Peritoneal;90';30;$ 1.450,50;$ 2.095,20;$ 2.095,20;$ 2.498,10
Drenaje Postural;9';3;$ 145,05;$ 209,52;$ 209,52;$ 249,81
Educación al paciente y familiar;45';15;$ 725,25;$ 1.047,60;$ 1.047,60;$ 1.249,05
Ejercicio activos y pasos de rehabilitación            ;45';15;$ 725,25;$ 1.047,60;$ 1.047,60;$ 1.249,05
Ejercicios Respiratorios;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Enema de Murphy;30';10;$ 483,50;$ 698,40;$ 698,40;$ 832,70
Enema evacuante;21';7;$ 338,45;$ 488,88;$ 488,88;$ 582,89
Entrevista al paciente;15';5;$ 241,75;$ 349,20;$ 349,20;$ 416,35
Extracción de puntos de sutura;12';4;$ 193,40;$ 279,36;$ 279,36;$ 333,08
Extracción de sangre *;15';5;$ 241,75;$ 349,20;$ 349,20;$ 416,35
Faja de cuerpo;12';4;$ 193,40;$ 279,36;$ 279,36;$ 333,08
Lavado de boca ;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Lavado de cabello;21';7;$ 338,45;$ 488,88;$ 488,88;$ 582,89
Lavado de oído;9';3;$ 145,05;$ 209,52;$ 209,52;$ 249,81
Lavado de sonda vesical;30';10;$ 483,50;$ 698,40;$ 698,40;$ 832,70
Lavajes vaginales con medicamentos;45';15;$ 725,25;$ 1.047,60;$ 1.047,60;$ 1.249,05
Medicación intravenosa por goteo;45';15;$ 725,25;$ 1.047,60;$ 1.047,60;$ 1.249,05
Medicación por Tubuladura y/o colateral;9';3;$ 145,05;$ 209,52;$ 209,52;$ 249,81
Medicación Vía Cutánea;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Medicación Vía Intradérmica;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Medicación Vía Intramuscular;15';5;$ 241,75;$ 349,20;$ 349,20;$ 416,35
Medicación Vía Intravenosa;15';5;$ 241,75;$ 349,20;$ 349,20;$ 416,35
Medicación Vía Nasal;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Medicación Vía Oral;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Medicación Vía Rectal;9';3;$ 145,05;$ 209,52;$ 209,52;$ 249,81
Medicación Vía Subcutánea;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Medicación Vía Sublingual;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Medicación Vía Vaginal;9';3;$ 145,05;$ 209,52;$ 209,52;$ 249,81
Medición de micción horaria;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Nebulizaciones;12';4;$ 193,40;$ 279,36;$ 279,36;$ 333,08
Oxígeno por bigotera;12';4;$ 193,40;$ 279,36;$ 279,36;$ 333,08
Oxígeno por máscara;12';4;$ 193,40;$ 279,36;$ 279,36;$ 333,08
Oxígeno por traqueóstomía;12';4;$ 193,40;$ 279,36;$ 279,36;$ 333,08
Pesaje de pañales en lactantes;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Rasurado Higiénico;9';3;$ 145,05;$ 209,52;$ 209,52;$ 249,81
Saturometría;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Sujeción de paciente;12';4;$ 193,40;$ 279,36;$ 279,36;$ 333,08
Traslado de cama a camilla;12';4;$ 193,40;$ 279,36;$ 279,36;$ 333,08
Tratamiento de Escabiosis;30';10;$ 483,50;$ 698,40;$ 698,40;$ 832,70
Tratamiento de Impétigo;30';10;$ 483,50;$ 698,40;$ 698,40;$ 832,70
Tratamiento de Pediculosis;21';7;$ 338,45;$ 488,88;$ 488,88;$ 582,89
Valoración de  la Diuresis;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Valoración de la función respiratoria adul;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Valoración de la función respiratoria ped.;12';4;$ 193,40;$ 279,36;$ 279,36;$ 333,08
Valoración de las  deposiciones;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Valoración de permeabilidad de catéter;9';3;$ 145,05;$ 209,52;$ 209,52;$ 249,81
Valoración de Signos Vitales;18';6;$ 290,10;$ 419,04;$ 419,04;$ 499,62
Valoración de temperatura;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Valoración de Tensión Arterial;9';3;$ 145,05;$ 209,52;$ 209,52;$ 249,81
Valoración del dolor;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Valoración del estado de conciencia;12';4;$ 193,40;$ 279,36;$ 279,36;$ 333,08
Valoración del signo de Godet;6';2;$ 96,70;$ 139,68;$ 139,68;$ 166,54
Vendaje elástico/elástico;9';3;$ 145,05;$ 209,52;$ 209,52;$ 249,81
Visita Domiciliaria;21';7;$ 338,45;$ 488,88;$ 488,88;$ 582,89
Auditoria del Cuidado de pacientes de baja complejdad;;;;;;$ 953,48
;;;;;;
Auditoria del Cuidado de pacientes de mediana complejidad;;;;;;$ 1.301,96
;;;;;;
Auditoria del Cuidado de pacientes de alta complejidad;;;;;;$ 1557.27
;;;;;;
;;;;;;
* NO INCLUYE INSUMOS;;;;;;
