.;;;;;;
ARANCELES SUGERIDOS PARA LAS PRESTACIONES DE ENFERMERIA. 2022;;;;;;
;;;VALOR UPE;;;
;UPE;;C.D.;C.N.;D.D.;D.N.
Cuidados al pte. pos-quimio;15';5;$ 471,41;$ 680,94;$ 680,94;$ 811,88
Cuidados de los avenamientos pleurales;15';5;$ 471,41;$ 680,94;$ 680,94;$ 811,88
Cuidados de los drenajes abdominales;15';5;$ 471,41;$ 680,94;$ 680,94;$ 811,88
Curación compleja;30';10;$ 942,83;$ 1.361,88;$ 1.361,88;$ 1.623,77
Curación de absesos;21';7;$ 659,98;$ 953,32;$ 953,32;$ 1.136,64
Curación de escaras por dec. Compleja;30';10;$ 942,83;$ 1.361,88;$ 1.361,88;$ 1.623,77
Curación de escaras por decúbito;21';7;$ 659,98;$ 953,32;$ 953,32;$ 1.136,64
Curación de forúnculo;21';7;$ 659,98;$ 953,32;$ 953,32;$ 1.136,64
Curación de port;15';5;$ 471,41;$ 680,94;$ 680,94;$ 811,88
Curación de vía central ;15';5;$ 471,41;$ 680,94;$ 680,94;$ 811,88
Curación simple;18';6;$ 565,70;$ 817,13;$ 817,13;$ 974,26
Diálisis Peritoneal;90';30;$ 2.828,48;$ 4.085,64;$ 4.085,64;$ 4.871,30
Drenaje Postural;9';3;$ 282,85;$ 408,56;$ 408,56;$ 487,13
Educación al paciente y familiar;45';15;$ 1.414,24;$ 2.042,82;$ 2.042,82;$ 2.435,65
Ejercicio activos y pasos de rehabilitación            ;45';15;$ 1.414,24;$ 2.042,82;$ 2.042,82;$ 2.435,65
Ejercicios Respiratorios;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Enema de Murphy;30';10;$ 942,83;$ 1.361,88;$ 1.361,88;$ 1.623,77
Enema evacuante;21';7;$ 659,98;$ 953,32;$ 953,32;$ 1.136,64
Entrevista al paciente;15';5;$ 471,41;$ 680,94;$ 680,94;$ 811,88
Extracción de puntos de sutura;12';4;$ 377,13;$ 544,75;$ 544,75;$ 649,51
Extracción de sangre *;15';5;$ 471,41;$ 680,94;$ 680,94;$ 811,88
Faja de cuerpo;12';4;$ 377,13;$ 544,75;$ 544,75;$ 649,51
Lavado de boca ;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Lavado de cabello;21';7;$ 659,98;$ 953,32;$ 953,32;$ 1.136,64
Lavado de oído;9';3;$ 282,85;$ 408,56;$ 408,56;$ 487,13
Lavado de sonda vesical;30';10;$ 942,83;$ 1.361,88;$ 1.361,88;$ 1.623,77
Lavajes vaginales con medicamentos;45';15;$ 1.414,24;$ 2.042,82;$ 2.042,82;$ 2.435,65
Medicación intravenosa por goteo;45';15;$ 1.414,24;$ 2.042,82;$ 2.042,82;$ 2.435,65
Medicación por Tubuladura y/o colateral;9';3;$ 282,85;$ 408,56;$ 408,56;$ 487,13
Medicación Vía Cutánea;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Medicación Vía Intradérmica;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Medicación Vía Intramuscular;15';5;$ 471,41;$ 680,94;$ 680,94;$ 811,88
Medicación Vía Intravenosa;15';5;$ 471,41;$ 680,94;$ 680,94;$ 811,88
Medicación Vía Nasal;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Medicación Vía Oral;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Medicación Vía Rectal;9';3;$ 282,85;$ 408,56;$ 408,56;$ 487,13
Medicación Vía Subcutánea;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Medicación Vía Sublingual;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Medicación Vía Vaginal;9';3;$ 282,85;$ 408,56;$ 408,56;$ 487,13
Medición de micción horaria;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Nebulizaciones;12';4;$ 377,13;$ 544,75;$ 544,75;$ 649,51
Oxígeno por bigotera;12';4;$ 377,13;$ 544,75;$ 544,75;$ 649,51
Oxígeno por máscara;12';4;$ 377,13;$ 544,75;$ 544,75;$ 649,51
Oxígeno por traqueóstomía;12';4;$ 377,13;$ 544,75;$ 544,75;$ 649,51
Pesaje de pañales en lactantes;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Rasurado Higiénico;9';3;$ 282,85;$ 408,56;$ 408,56;$ 487,13
Saturometría;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Sujeción de paciente;12';4;$ 377,13;$ 544,75;$ 544,75;$ 649,51
Traslado de cama a camilla;12';4;$ 377,13;$ 544,75;$ 544,75;$ 649,51
Tratamiento de Escabiosis;30';10;$ 942,83;$ 1.361,88;$ 1.361,88;$ 1.623,77
Tratamiento de Impétigo;30';10;$ 942,83;$ 1.361,88;$ 1.361,88;$ 1.623,77
Tratamiento de Pediculosis;21';7;$ 659,98;$ 953,32;$ 953,32;$ 1.136,64
Valoración de  la Diuresis;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Valoración de la función respiratoria adul;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Valoración de la función respiratoria ped.;12';4;$ 377,13;$ 544,75;$ 544,75;$ 649,51
Valoración de las  deposiciones;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Valoración de permeabilidad de catéter;9';3;$ 282,85;$ 408,56;$ 408,56;$ 487,13
Valoración de Signos Vitales;18';6;$ 565,70;$ 817,13;$ 817,13;$ 974,26
Valoración de temperatura;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Valoración de Tensión Arterial;9';3;$ 282,85;$ 408,56;$ 408,56;$ 487,13
Valoración del dolor;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Valoración del estado de conciencia;12';4;$ 377,13;$ 544,75;$ 544,75;$ 649,51
Valoración del signo de Godet;6';2;$ 188,57;$ 272,38;$ 272,38;$ 324,75
Vendaje elástico/elástico;9';3;$ 282,85;$ 408,56;$ 408,56;$ 487,13
Visita Domiciliaria;21';7;$ 659,98;$ 953,32;$ 953,32;$ 1.136,64
Auditoria del Cuidado de pacientes de baja complejdad;;;;;;$ 1.859,29
;;;;;;
Auditoria del Cuidado de pacientes de mediana complejidad;;;;;;$ 2.538,82
;;;;;;
Auditoria del Cuidado de pacientes de alta complejidad;;;;;; $ 	3.036,68 
;;;;;;
;;;;;;
* NO INCLUYE INSUMOS;;;;;;
