.;;;;;;
ARANCELES SUGERIDOS PARA LAS PRESTACIONES DE ENFERMERIA. 2022;;;;;;
;;;VALOR UPE;;;
;UPE;;C.D.;C.N.;D.D.;D.N.
Cuidado paciente traqueostomizado;24';8;$ 1.154,02;$ 1.666,94;$ 1.666,94;$ 1.987,49
Cuidado posmorten en domicilio;45';15;$ 2.163,78;$ 3.125,51;$ 3.125,51;$ 3.726,54
Cuidados al paciente en AMR;45';15;$ 2.163,78;$ 3.125,51;$ 3.125,51;$ 3.726,54
Cuidados al pte. pos-quimio;15';5;$ 721,26;$ 1.041,84;$ 1.041,84;$ 1.242,18
Cuidados de los avenamientos pleurales;15';5;$ 721,26;$ 1.041,84;$ 1.041,84;$ 1.242,18
Cuidados de los drenajes abdominales;15';5;$ 721,26;$ 1.041,84;$ 1.041,84;$ 1.242,18
Curación compleja;30';10;$ 1.442,52;$ 2.083,68;$ 2.083,68;$ 2.484,36
Curación de absesos;21';7;$ 1.009,77;$ 1.458,57;$ 1.458,57;$ 1.739,05
Curación de escaras por dec. Compleja;30';10;$ 1.442,52;$ 2.083,68;$ 2.083,68;$ 2.484,36
Curación de escaras por decúbito;21';7;$ 1.009,77;$ 1.458,57;$ 1.458,57;$ 1.739,05
Curación de forúnculo;21';7;$ 1.009,77;$ 1.458,57;$ 1.458,57;$ 1.739,05
Curación de port;15';5;$ 721,26;$ 1.041,84;$ 1.041,84;$ 1.242,18
Curación de vía central ;15';5;$ 721,26;$ 1.041,84;$ 1.041,84;$ 1.242,18
Curación simple;18';6;$ 865,51;$ 1.250,21;$ 1.250,21;$ 1.490,62
Diálisis Peritoneal;90';30;$ 4.327,57;$ 6.251,03;$ 6.251,03;$ 7.453,08
Drenaje Postural;9';3;$ 432,76;$ 625,10;$ 625,10;$ 745,31
Educación al paciente y familiar;45';15;$ 2.163,78;$ 3.125,51;$ 3.125,51;$ 3.726,54
Ejercicio activos y pasos de rehabilitación            ;45';15;$ 2.163,78;$ 3.125,51;$ 3.125,51;$ 3.726,54
Ejercicios Respiratorios;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Enema de Murphy;30';10;$ 1.442,52;$ 2.083,68;$ 2.083,68;$ 2.484,36
Enema evacuante;21';7;$ 1.009,77;$ 1.458,57;$ 1.458,57;$ 1.739,05
Entrevista al paciente;15';5;$ 721,26;$ 1.041,84;$ 1.041,84;$ 1.242,18
Extracción de puntos de sutura;12';4;$ 577,01;$ 833,47;$ 833,47;$ 993,74
Extracción de sangre *;15';5;$ 721,26;$ 1.041,84;$ 1.041,84;$ 1.242,18
Faja de cuerpo;12';4;$ 577,01;$ 833,47;$ 833,47;$ 993,74
Lavado de boca ;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Lavado de cabello;21';7;$ 1.009,77;$ 1.458,57;$ 1.458,57;$ 1.739,05
Lavado de oído;9';3;$ 432,76;$ 625,10;$ 625,10;$ 745,31
Lavado de sonda vesical;30';10;$ 1.442,52;$ 2.083,68;$ 2.083,68;$ 2.484,36
Lavajes vaginales con medicamentos;45';15;$ 2.163,78;$ 3.125,51;$ 3.125,51;$ 3.726,54
Medicación intravenosa por goteo;45';15;$ 2.163,78;$ 3.125,51;$ 3.125,51;$ 3.726,54
Medicación por Tubuladura y/o colateral;9';3;$ 432,76;$ 625,10;$ 625,10;$ 745,31
Medicación Vía Cutánea;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Medicación Vía Intradérmica;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Medicación Vía Intramuscular;15';5;$ 721,26;$ 1.041,84;$ 1.041,84;$ 1.242,18
Medicación Vía Intravenosa;15';5;$ 721,26;$ 1.041,84;$ 1.041,84;$ 1.242,18
Medicación Vía Nasal;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Medicación Vía Oral;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Medicación Vía Rectal;9';3;$ 432,76;$ 625,10;$ 625,10;$ 745,31
Medicación Vía Subcutánea;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Medicación Vía Sublingual;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Medicación Vía Vaginal;9';3;$ 432,76;$ 625,10;$ 625,10;$ 745,31
Medición de micción horaria;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Nebulizaciones;12';4;$ 577,01;$ 833,47;$ 833,47;$ 993,74
Oxígeno por bigotera;12';4;$ 577,01;$ 833,47;$ 833,47;$ 993,74
Oxígeno por máscara;12';4;$ 577,01;$ 833,47;$ 833,47;$ 993,74
Oxígeno por traqueóstomía;12';4;$ 577,01;$ 833,47;$ 833,47;$ 993,74
Pesaje de pañales en lactantes;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Rasurado Higiénico;9';3;$ 432,76;$ 625,10;$ 625,10;$ 745,31
Saturometría;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Sujeción de paciente;12';4;$ 577,01;$ 833,47;$ 833,47;$ 993,74
Traslado de cama a camilla;12';4;$ 577,01;$ 833,47;$ 833,47;$ 993,74
Tratamiento de Escabiosis;30';10;$ 1.442,52;$ 2.083,68;$ 2.083,68;$ 2.484,36
Tratamiento de Impétigo;30';10;$ 1.442,52;$ 2.083,68;$ 2.083,68;$ 2.484,36
Tratamiento de Pediculosis;21';7;$ 1.009,77;$ 1.458,57;$ 1.458,57;$ 1.739,05
Valoración de  la Diuresis;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Valoración de la función respiratoria adul;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Valoración de la función respiratoria ped.;12';4;$ 577,01;$ 833,47;$ 833,47;$ 993,74
Valoración de las  deposiciones;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Valoración de permeabilidad de catéter;9';3;$ 432,76;$ 625,10;$ 625,10;$ 745,31
Valoración de Signos Vitales;18';6;$ 865,51;$ 1.250,21;$ 1.250,21;$ 1.490,62
Valoración de temperatura;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Valoración de Tensión Arterial;9';3;$ 432,76;$ 625,10;$ 625,10;$ 745,31
Valoración del dolor;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Valoración del estado de conciencia;12';4;$ 577,01;$ 833,47;$ 833,47;$ 993,74
Valoración del signo de Godet;6';2;$ 288,50;$ 416,74;$ 416,74;$ 496,87
Vendaje elástico/elástico;9';3;$ 432,76;$ 625,10;$ 625,10;$ 745,31
Visita Domiciliaria;21';7;$ 1.009,77;$ 1.458,57;$ 1.458,57;$ 1.739,05
Auditoria del Cuidado de pacientes de baja complejdad;;;;;;$ 2.844,71
;;;;;;
Auditoria del Cuidado de pacientes de mediana complejidad;;;;;;$ 3.884,40
;;;;;;
Auditoria del Cuidado de pacientes de alta complejidad;;;;;; $ 	4.646,12 
;;;;;;
;;;;;;
* NO INCLUYE INSUMOS;;;;;;
